isbn,title,author,qty,site,existing_availability,url
9789380020860,அருணாவின் உடல் நலம் காக்கும் உன்னத தகவல் களஞ்சியம் : அனைவருக்குமான மருத்துவத் தகவல்கள் அடங்கியது,"சிவமதி, எடையூர்.",1,commonfolks,,https://www.commonfolks.in/books/d/arunavin-udal-nalam-kaakkum-unnatha-thagaval-kalanjium
9789381790069,அருணாவின் பேரறிஞர் அண்ணா,"லட்சுமி வேலு, பி. எஸ்.",1,commonfolks,,https://www.commonfolks.in/books/d/arunavin-perarignar-anna
9789381790106,அருணாவின் பொது அறிவை வளர்க்கும் விநாடி வினா-விடை,"இமாஜான், டி.என்.",1,commonfolks,,https://www.commonfolks.in/books/d/podhu-arivai-valarkkum-vinaadi-vinaa-vidai
9789381790113,அருணாவின் மாணவர்களுக்கான பொது அறிவு செய்திகள்,"மதி, கே. எஸ்.",1,commonfolks,,https://www.commonfolks.in/books/d/maanavargalukkaana-podhu-arivu-seithigal
9789381790199,அருணாவின் விண்வெளி வீராங்கனை கல்பனா சாவ்லா,"நகேந்திர பிரபு, சிவ.",1,commonfolks,,https://www.commonfolks.in/books/d/arunavin-vinveli-veeraanganai-kalpana-chawla
9789381790779,அருணாவின் வீரபாண்டிய கட்டபொம்மன் : வெள்ளையர்களை எதிர்த்து வீரமுழக்கமிட்ட தமிழகத்தின் முதல் குரல்,"சிவபாரதி, அரு. வி., author",1,commonfolks,,https://www.commonfolks.in/books/d/suthanthira-muzhakkamitta-veerapandia-kattapomman
9789381790793,அருணாவின் மாவீரன் பூலித்தேவன் : இந்திய சுதந்திரப் போராட்டத்தில் தமிழகத்தின் முதல் போராளி,"சிவபாரதி, அரு. வி., author",1,commonfolks,,https://www.commonfolks.in/books/d/arunavin-maaveeran-poolithevan
9789383886777,அருணாவின் ஆரோக்கியம் தரும் அற்புத உணவுகள்,"பவித்ரா, author",1,commonfolks,,https://www.commonfolks.in/books/d/aarokkiam-tharum-arpudha-unavugal-aruna-publications
9789383886869,அருணாவின் திருநெல்வேலி சமையல்,"சுப்புலட்சுமி, author",1,commonfolks,,https://www.commonfolks.in/books/d/thirunelveli-samaiyal-aruna-publications
9789383968176,Splintered justice,Warisha Farasat,1,commonfolks,,https://www.commonfolks.in/books/d/splintered-justice-hb
9789391045142,"Reclaiming the lost heritage : the vinashana of Sarasvati : an illustrated monograph containing a few original discoveries in the field of ancient history of Vedic people, rituals and texts",Mrugendra Vinod,1,exoticindia,,https://www.exoticindiaart.com/book/details/reclaiming-lost-heritage-vinashana-of-sarasvati-han124/
